Rank,TV Show,Year,Star Cast,Rating,url
71,Larry David (Curb Your Enthusiasm),Curb Your Enthusiasm,"Larry David, Cheryl Hines",8.66260040202312,www.imdb.com/title/tt0264235/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_71
72,Dragon Ball Z,1996,"Doc Harris, Christopher Sabat",8.662419007921251,www.imdb.com/title/tt0214341/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_72
73,Deadwood,2004,"Timothy Olyphant, Ian McShane",8.657435823654506,www.imdb.com/title/tt0348914/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_73
74,Steins;Gate,2011,"Mamoru Miyano, Asami Imai",8.656540519150193,www.imdb.com/title/tt1910272/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_74
75,Dragon Ball Z,1989,"Jôji Yanami, Kyle Hebert",8.656459600293292,www.imdb.com/title/tt0121220/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_75
76,Las aventuras de Sherlock Holmes,1984,"Jeremy Brett, David Burke",8.655788745389172,www.imdb.com/title/tt0086661/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_76
77,A dos metros bajo tierra,2001,"Peter Krause, Michael C. Hall",8.652937471438975,www.imdb.com/title/tt0248654/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_77
78,"Galáctica, estrella de combate",2004,"Edward James Olmos, Mary McDonnell",8.652904204890705,www.imdb.com/title/tt0407362/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_78
79,Better Call Saul,2015,"Bob Odenkirk, Rhea Seehorn",8.649978486882082,www.imdb.com/title/tt3032476/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_79
80,The Thick of It,2005,"Chris Addison, James Smith",8.646164363762571,www.imdb.com/title/tt0459159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_80
81,The Crown,2016,"Claire Foy, Matt Smith",8.6431035624559,www.imdb.com/title/tt4786824/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_81
82,Las memorias de Sherlock Holmes,1994,"Jeremy Brett, Rosalie Williams",8.642589070205956,www.imdb.com/title/tt0108855/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_82
83,El regreso de Sherlock Holmes,1986,"Jeremy Brett, Edward Hardwicke",8.642212560656553,www.imdb.com/title/tt0090509/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_83
84,This Is Us,2016,"Milo Ventimiglia, Mandy Moore",8.637612358148834,www.imdb.com/title/tt5555260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_84
85,Top Gear,2002,"Jeremy Clarkson, Richard Hammond",8.635601354909221,www.imdb.com/title/tt1628033/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_85
86,The Shield: Al margen de la ley,2002,"Michael Chiklis, Catherine Dent",8.632654606908597,www.imdb.com/title/tt0286486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_86
87,Mind Your Language,1977,"Barry Evans, George Camiller",8.632520314445857,www.imdb.com/title/tt0075537/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_87
88,Expediente X,1993,"David Duchovny, Gillian Anderson",8.63103109436851,www.imdb.com/title/tt0106179/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_88
89,De la Tierra a la Luna,1998,"Tom Hanks, Nick Searcy",8.628679063533538,www.imdb.com/title/tt0120570/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_89
90,Juegos sagrados,2018,"Saif Ali Khan, Nawazuddin Siddiqui",8.627266388483456,www.imdb.com/title/tt6077448/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_90
91,Archer,2009,"H. Jon Benjamin, Judy Greer",8.626795194577753,www.imdb.com/title/tt1486217/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_91
92,Dexter,2006,"Michael C. Hall, Jennifer Carpenter",8.625457628373905,www.imdb.com/title/tt0773262/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_92
93,La víbora negra,1986,"Rowan Atkinson, Tony Robinson",8.619045975733156,www.imdb.com/title/tt0088484/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_93
94,Monster,2004,"Hidenobu Kiuchi, Liam O'Brien",8.618941398293241,www.imdb.com/title/tt0434706/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_94
95,Making a Murderer,2015,"Dolores Avery, Steven Avery",8.617527083509664,www.imdb.com/title/tt5189670/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_95
96,Downton Abbey,2010,"Hugh Bonneville, Phyllis Logan",8.616778239056226,www.imdb.com/title/tt1606375/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_96
97,Daredevil,2015,"Charlie Cox, Vincent D'Onofrio",8.6130502646104,www.imdb.com/title/tt3322312/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_97
98,Masum,2017,"Haluk Bilginer, Nur Sürer",8.608845515629842,www.imdb.com/title/tt6478318/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_98
99,Norte y Sur,2004,"Daniela Denby-Ashe, Richard Armitage",8.608088510761608,www.imdb.com/title/tt0417349/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_99
100, El mundo en moto con Ewan McGregor,2004,"Ewan McGregor, Charley Boorman",8.599532503642402,www.imdb.com/title/tt0403778/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_100
101,La joven Liga de la Justicia,2010,"Danica McKellar, Jesse McCartney",8.598779160605728,www.imdb.com/title/tt1641384/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_101
102,La maravillosa Sra Maisel,2017,"Matilda Szydagis, Rachel Brosnahan",8.598660405294128,www.imdb.com/title/tt5788792/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_102
103,Code Geass: Lelouch of the Rebellion,2006,"Johnny Yong Bosch, Jun Fukuyama",8.597625160631917,www.imdb.com/title/tt0994314/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_103
104,Bron (El puente),El puente,"Sofia Helin, Rafael Pettersson",8.596733397677026,www.imdb.com/title/tt1733785/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_104
105,Parks and Recreation,2009,"Amy Poehler, Jim O'Heir",8.596656450700685,www.imdb.com/title/tt1266020/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_105
106,La víbora negra,1987,"Rowan Atkinson, Tony Robinson",8.596599700201557,www.imdb.com/title/tt0092324/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_106
107,Star Trek: La nueva generación,1987,"Patrick Stewart, Brent Spiner",8.59522292958125,www.imdb.com/title/tt0092455/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_107
108,Doctor Who,2005,"Jodie Whittaker, Peter Capaldi",8.593562146556694,www.imdb.com/title/tt0436992/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_108
109,Shameless,2011,"Emmy Rossum, William H. Macy",8.592865922377372,www.imdb.com/title/tt1586680/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_109
110,Yeh Meri Family,2018,"Vishesh Bansal, Mona Singh",8.591238621208397,www.imdb.com/title/tt8595766/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_110
111,Battlestar Galactica,2003,"Edward James Olmos, Mary McDonnell",8.591170798056424,www.imdb.com/title/tt0314979/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_111
112,Spaced,1999,"Jessica Hynes, Simon Pegg",8.590054322790936,www.imdb.com/title/tt0187664/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_112
113,El alquimista de acero,2003,"Vic Mignogna, Aaron Dismuke",8.58913522231335,www.imdb.com/title/tt0421357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_113
114,Gomorra,2014,"Marco D'Amore, Salvatore Esposito",8.586797724404903,www.imdb.com/title/tt2049116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_114
115,The Grand Tour,2016,"Jeremy Clarkson, James May",8.586694513562435,www.imdb.com/title/tt5712554/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_115
116,Secretos del Universo con Morgan Freeman,2010,"Morgan Freeman, Sean Carroll",8.582595073888008,www.imdb.com/title/tt1513168/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_116
117,Leyla and Mecnun,2011,"Ali Atay, Cengiz Bozkurt",8.579193205443401,www.imdb.com/title/tt1831164/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_117
118,"Kenshin, el guerrero samurái: Recuerdos",1999,"Mayo Suzukaze, Junko Iwao",8.578972722582666,www.imdb.com/title/tt0203082/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_118
119,QI,2003,"Alan Davies, Stephen Fry",8.578142222122338,www.imdb.com/title/tt0380136/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_119
120,Mad Men,2007,"Jon Hamm, Elisabeth Moss",8.57774072312293,www.imdb.com/title/tt0804503/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_120
121,The Bugs Bunny Show,1960,"Mel Blanc, June Foray",8.5727913511066,www.imdb.com/title/tt0053488/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_121
122,Atlanta,2016,"Donald Glover, Brian Tyree Henry",8.571788168882332,www.imdb.com/title/tt4288182/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_122
123,The Defiant Ones,2017,"Dr. Dre, Jimmy Iovine",8.571163807845046,www.imdb.com/title/tt6958022/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_123
124,The Punisher,2017,"Jon Bernthal, Amber Rose Revah",8.570786275948063,www.imdb.com/title/tt5675620/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_124
125,Umbre,2014,"Serban Pavlu, Maria Obretin",8.56764378860882,www.imdb.com/title/tt4269716/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_125
126,Friday Night Lights,2006,"Kyle Chandler, Connie Britton",8.566330275946754,www.imdb.com/title/tt0758745/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_126
127,Skam,2015,"Josefine Frida Pettersen, Iman Meskini",8.564002897795115,www.imdb.com/title/tt5288312/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_127
128,"Sí, ministro",1980,"Paul Eddington, Nigel Hawthorne",8.558740861953252,www.imdb.com/title/tt0080306/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_128
129,Padre Ted,1995,"Dermot Morgan, Ardal O'Hanlon",8.556547825721188,www.imdb.com/title/tt0111958/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_129
130,Misterio en el espacio,1988,"Joel Hodgson, Michael J. Nelson",8.555890516420936,www.imdb.com/title/tt0094517/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_130
131,Chef's Table,2015,"Dan Barber, Massimo Bottura",8.5552618778597,www.imdb.com/title/tt4295140/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_131
132,Los caballeros del zodíaco,1986,"Hideyuki Tanaka, Tôru Furuya",8.553779338100707,www.imdb.com/title/tt0161952/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_132
133,Peep Show,2003,"David Mitchell, Robert Webb",8.553713896184309,www.imdb.com/title/tt0387764/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_133
134,Brass Eye,1997,"Christopher Morris, Mark Heap",8.552778713842008,www.imdb.com/title/tt0118273/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_134
135,La Liga de la Justicia,2001,"Carl Lumbly, Phil LaMarr",8.551333054682196,www.imdb.com/title/tt0275137/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_135
136,Los Conchords,2007,"Jemaine Clement, Bret McKenzie",8.551071298585233,www.imdb.com/title/tt0863046/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_136
137,Dark,2017,"Oliver Masucci, Karoline Eichhorn",8.549188042944094,www.imdb.com/title/tt5753856/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_137
138,Neon Genesis Evangelion,1995,"Megumi Ogata, Megumi Hayashibara",8.547137746726193,www.imdb.com/title/tt0112159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_138
139,Generation Kill,2008,"Alexander Skarsgård, James Ransone",8.546651154341793,www.imdb.com/title/tt0995832/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_139
140,Justified: La ley de Raylan,2010,"Timothy Olyphant, Nick Searcy",8.546415451432532,www.imdb.com/title/tt1489428/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_140
141,The Newsroom,2012,"Jeff Daniels, Emily Mortimer",8.546297038336471,www.imdb.com/title/tt1870479/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_141
142,"Sí, primer ministro",1986,"Paul Eddington, Nigel Hawthorne",8.540527013831012,www.imdb.com/title/tt0086831/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_142
143,Hunter x Hunter,2011,"Megumi Han, Mariya Ise",8.539908451265976,www.imdb.com/title/tt2098220/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_143
